guid	file_name	md5	size	acl	urls
2a071e0a-7cd5-45c4-adae-273dfd8bb3d8	Death_Be_Not_Proud_by_John_Donne.pdf	dba2fed7f9610cf0e9dc905b99ee858c	25536	[*]	['https://cloud05.core.wits.ac.za/gen3-minio-bucket/Death_Be_Not_Proud_by_John_Donne.pdf']
898d2c97-36db-4613-9c33-64ebfaa8d889	If_by_Rudyard_Kipling.pdf	1d3ef96422a3f3d0dac90ec78080e1ce	47325	[*]	['https://cloud05.core.wits.ac.za/gen3-minio-bucket/If_by_Rudyard_Kipling.pdf']
3e96a02a-9fe2-4dd4-a317-0874498fdbd9	Mushrooms_by_Sylvia_Plath.pdf	a53f247d3abd38abf0635cb67190f453	42283	[*]	['https://cloud05.core.wits.ac.za/gen3-minio-bucket/Mushrooms_by_Sylvia_Plath.pdf']
83573c99-626c-4581-bc35-9f00d0976296	Ozymandias_of_Egypt_by_Percy_Shelley.pdf	c3b5805851e649987010c78b0847077f	451006	[*]	['https://cloud05.core.wits.ac.za/gen3-minio-bucket/Ozymandias_of_Egypt_by_Percy_Shelley.pdf']
e4759992-db1f-4f7a-a141-821631ab9648	aliquot.txt	405533066efa444f7dc42f41af9d609a	350	[*]	['https://cloud05.core.wits.ac.za/gen3-minio-bucket/PREFIX/333626e2-acc2-4f5d-95d4-8e490a38e847/aliquot.txt']
5771acdd-b685-4934-a788-17238cde395a	case.txt	e506b0a0ff2ec8717a78444c23328de5	250	[*]	['https://cloud05.core.wits.ac.za/gen3-minio-bucket/PREFIX/39c5c8f6-fec4-4e33-835a-67813f2230eb/case.txt']
ca0c9719-ea5f-4872-867a-149bf2576e76	publication.txt	a650978e0552f0affc383f0991176e17	176	[*]	['https://cloud05.core.wits.ac.za/gen3-minio-bucket/PREFIX/69c8b05e-de58-4908-b08d-aa686f3be580/publication.txt']
908af0ae-4eaa-4bf6-a40a-b91618db7032	hogwarts_express.jpg	7f5ebf1b42b7f0389ff02bf4106d41a7	238202	[*]	['https://cloud05.core.wits.ac.za/gen3-minio-bucket/hogwarts_express.jpg']
52c3a9ed-724f-45ca-9cca-49c50d359d15	20-Industrial-Rev.pdf	6a5a17201ae00dfec29f24f0aa6ef06c	1433280	[*]	['https://cloud05.core.wits.ac.za/gen3-minio-bucket/PREFIX/3a1528d9-1e1b-423a-9870-b6beedead3dc/20-Industrial-Rev.pdf']
5da13668-ceb2-4865-b019-ccb9eecda165	Essential_Microbiology.pdf	62cd91d8da7f9e8343251a73d53fe419-2	9859207	[*]	['https://cloud05.core.wits.ac.za/gen3-minio-bucket/PREFIX/ce72c4e0-3083-44e3-ba1b-cee80775fa98/Essential_Microbiology.pdf']
